homeMGRA,ao_by_mgra
815,1.7901234567901234
816,1.68
817,1.4606741573033708
818,1.565217391304348
819,1.9761904761904763
820,1.8181818181818181
821,1.7216494845360826
822,2.1923076923076925
823,1.7553191489361701
824,1.9090909090909092
825,1.5
826,2.0869565217391304
827,1.8541666666666667
828,1.901639344262295
829,1.7751479289940828
830,1.95
831,1.4166666666666667
832,1.8148148148148149
833,1.796875
834,1.8686868686868687
835,1.75
836,1.8125
837,2.0
838,1.8181818181818181
839,1.6666666666666667
840,1.6818181818181819
841,1.1333333333333333
842,1.452991452991453
843,1.7672413793103448
844,1.7619047619047619
845,1.5432098765432098
846,1.8095238095238095
847,1.8222222222222222
849,1.65
850,1.2995951417004048
851,1.4723404255319148
852,1.345679012345679
853,1.2222222222222223
855,1.5922330097087378
856,1.7088607594936709
857,1.3333333333333333
859,1.28125
860,1.8108108108108107
861,1.5
862,1.9857142857142858
863,1.2
864,1.6923076923076923
865,1.6285714285714286
866,1.8923076923076922
867,1.7222222222222223
868,1.6153846153846154
869,2.5454545454545454
870,1.7142857142857142
871,1.5982142857142858
872,1.794871794871795
873,2.0833333333333335
874,2.0294117647058822
875,1.9142857142857144
876,1.793103448275862
878,2.3333333333333335
879,1.8909090909090909
880,1.8333333333333333
881,2.0
882,1.896551724137931
883,1.8212290502793296
884,1.7666666666666666
885,2.1578947368421053
886,1.9285714285714286
887,1.7640449438202248
888,1.6354166666666667
889,1.7611940298507462
890,2.0
891,1.9
892,1.8
893,1.9189189189189189
894,1.8
895,1.25
896,1.2972972972972974
897,1.3298701298701299
898,1.6153846153846154
899,1.2857142857142858
900,1.7340425531914894
901,1.475
902,1.6551724137931034
903,1.6
904,1.5763888888888888
905,1.6129032258064515
906,1.8135593220338984
907,1.25
908,1.412121212121212
909,1.0952380952380953
910,1.3795620437956204
911,1.3894736842105264
912,1.426356589147287
914,1.4736842105263157
915,1.5
916,1.917808219178082
917,1.3928571428571428
918,1.8333333333333333
920,1.4005763688760806
921,1.7857142857142858
922,1.8658536585365855
924,1.4618736383442266
925,1.9428571428571428
927,1.7777777777777777
928,1.7307692307692308
929,2.357142857142857
930,1.7657657657657657
931,1.763157894736842
932,1.6329787234042554
933,1.9764705882352942
934,1.3333333333333333
935,2.0555555555555554
936,1.7727272727272727
937,1.7125
938,1.3893129770992367
939,1.8888888888888888
940,1.6170212765957446
941,1.835164835164835
942,1.6923076923076923
943,2.046511627906977
944,1.86
945,1.9803921568627452
947,1.6646706586826348
951,1.9292035398230087
952,1.7959183673469388
953,2.0384615384615383
954,2.0
955,2.0412371134020617
956,2.100840336134454
958,1.8846153846153846
959,1.8275862068965518
960,1.9180327868852458
961,1.9925925925925927
962,1.8444444444444446
963,1.8140495867768596
964,2.0128205128205128
965,1.962962962962963
966,1.2222222222222223
967,1.0888888888888888
968,1.3571428571428572
969,0.9583333333333334
970,1.2881355932203389
971,1.2556053811659194
972,2.0
973,1.1314285714285715
975,1.25
977,1.24
978,1.2280701754385965
979,1.3043478260869565
980,1.2054263565891472
981,1.0375586854460095
982,1.296435272045028
983,1.1376518218623481
984,1.3273542600896862
986,1.4388489208633093
987,1.2054794520547945
989,1.1910112359550562
990,1.0
991,1.0583657587548638
992,1.1433224755700326
993,1.0079681274900398
994,1.3428571428571427
995,1.0849673202614378
996,1.0
997,1.186206896551724
998,1.3173652694610778
999,1.4545454545454546
1000,1.375
1001,1.2523364485981308
1002,1.3664596273291925
1003,1.690909090909091
1004,1.4202898550724639
1005,1.7142857142857142
1006,1.2
1007,1.4615384615384615
1008,1.6964285714285714
1009,1.3409090909090908
1010,1.4102564102564104
1011,1.4615384615384615
1012,1.7321428571428572
1013,1.4545454545454546
1014,1.7128712871287128
1015,1.6862745098039216
1016,1.4787234042553192
1017,1.6851851851851851
1018,2.2
1019,1.6753246753246753
1020,2.021978021978022
1021,1.894736842105263
1022,1.5555555555555556
1023,1.4390243902439024
1024,1.4726027397260273
1025,1.4705882352941178
1026,1.6274509803921569
1027,1.7079646017699115
1028,1.8933333333333333
1029,1.9019607843137254
1030,2.0
1031,1.8333333333333333
1032,1.8857142857142857
1033,2.2
1034,1.9341463414634146
1036,2.0
1037,1.8956521739130434
1038,2.012987012987013
1039,1.7671232876712328
1041,1.5925925925925926
1042,1.7301587301587302
1043,2.3157894736842106
1044,1.441860465116279
1046,1.5333333333333334
1047,1.8846153846153846
1048,1.7983193277310925
1049,1.608695652173913
1050,1.6923076923076923
1051,1.6736842105263159
1052,2.2222222222222223
1053,1.8
1054,1.75
1055,1.6853932584269662
1056,1.5
1058,1.5123076923076924
1061,1.9666666666666666
1062,1.87012987012987
1063,1.6346153846153846
1064,1.825
1065,0.8429423459244533
1066,1.8166666666666667
1067,1.5813953488372092
1068,1.6507936507936507
1070,1.1108986615678775
1071,1.28428927680798
1072,1.0645994832041343
1073,1.2014184397163121
1076,0.7067424857839155
1078,1.3381180223285487
1079,1.2125984251968505
1080,1.291866028708134
1081,1.319327731092437
1082,1.288888888888889
